SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,TAXONOMY_ID,ORGANISM_NAME,SRA_SAMPID,SRA_RUNID,LOCUSTAG,TEMPLATE
Coemansia furcata BCRC 34190,BCRC 34190,GPCZX,SAMN13165571,PRJNA581603,417177,Coemansia furcata,SRS6088875,SRR10999134,GGI24,ZygoLCG
Coemansia furcata CBS 102833,CBS 102833,GWGAA,SAMN15720784,PRJNA651138,417177,Coemansia furcata,SRS7622035,SRR12951112,H4S07,ZygoLCG
Coemansia guatemalense NRRL 1565,NRRL 1565,GWWAY,SAMN15759881,PRJNA650733,2761395,Coemansia guatemalensis,SRS7622151,SRR12951268,H4R20,ZygoLCG
Coemansia helicoidea BCRC 34780,BCRC 34780,GWWBC,SAMN15720335,PRJNA650734,1286919,Coemansia helicoidea,SRS7622165,SRR12951282,H4R21,ZygoLCG
Coemansia interrupta BCRC 34489,BCRC 34489,GPCZO,SAMN13165568,PRJNA581594,1126814,Coemansia interrupta,SRS6088864,SRR10999054,GGI15,ZygoLCG
Coemansia javaensis NBRC 105414,NBRC 105414,GWWBB,SAMN15759818,PRJNA650731,2761396,Coemansia javaensis,SRS7622164,SRR12951281,H4R18,ZygoLCG
Coemansia linderi BCRC 34191,BCRC 34191,GPGHN,SAMN13190185,PRJNA581597,2663919,Coemansia linderi,SRS6089427,SRR10999804,GGI18,ZygoLCG
Coemansia nantahalensis CBS 109366,CBS 109366,GWWBT,SAMN16810887,PRJNA676422,2789366,Coemansia nantahalensis,SRS7839516,SRR13206614,IWQ57,ZygoLCG
Coemansia nantahalensis CBS 109400,CBS 109400,GWWBS,SAMN16810868,PRJNA676421,2789366,Coemansia nantahalensis,SRS7839515,SRR13206613,IWQ56,ZygoLCG
Coemansia pectinata BCRC 34297,BCRC 34297,GPGHT,SAMN13165569,PRJNA581598,1052879,Coemansia pectinata,SRS6089661,SRR11000043,GGI19,ZygoLCG
Coemansia sp. BCRC 34301,BCRC 34301,GPGAU,SAMN13190105,PRJNA581599,2663920,Coemansia sp. BCRC 34301,SRS6088936,SRR10999308,GGI20,ZygoLCG
Coemansia sp. BCRC 34490,BCRC 34490,GWGAB,SAMN15759846,PRJNA651137,2761420,Coemansia sp. BCRC 34490,SRS7622034,SRR12951111,H4S06,ZygoLCG
Coemansia sp. BCRC 34962,BCRC 34962,GWCYN,SAMN16808216,PRJNA677669,2789224,Coemansia sp. BCRC 34962,SRS7776808,SRR13132160,IW152,ZygoLCG
Coemansia sp. Benny D115,Benny D115,GPGBO,SAMN13190182,PRJNA581586,2663910,Coemansia sp. Benny D115,SRS6088949,SRR10999320,GGI07,ZygoLCG
Coemansia sp. Benny D160-2,Benny D160-2,BeD160_2,,,,,,,,ZygoLCG
Coemansia sp. Cherry 401B,Cherry 401B,GWWBA,SAMN15759882,PRJNA650736,2761397,Coemansia sp. Cherry 401B,SRS7622163,SRR12951280,H4R23,ZygoLCG
Coemansia sp. D1744,D1744,GWGAC,SAMN15759836,PRJNA651089,2761401,Coemansia sp. D1744,SRS7622082,SRR12951161,H4S00,ZygoLCG
Coemansia sp. IMI 203386,IMI 203386,GBNSO,SAMN11532042,PRJNA538877,2572656,Coemansia sp. IMI 203386,SRS5392558,SRR10125930,FB645,ZygoLCG
Coemansia sp. IMI 209127,IMI 209127,MI209127,,,,,,,,ZygoLCG
Coemansia sp. IMI 209128,IMI 209128,GWWBP,SAMN15759877,PRJNA654308,2761427,Coemansia sp. IMI 209128,SRS7381926,SRR12659434,H4218,ZygoLCG
Coemansia sp. RSA 1085,RSA 1085,GWGAG,SAMN16810862,PRJNA677039,2789357,Coemansia sp. RSA 1085,SRS7834735,SRR13201247,IWW42,ZygoLCG
Coemansia sp. RSA 1086,RSA 1086,RSA1086,,,,,,,,ZygoLCG
Coemansia sp. RSA 1199,RSA 1199,GXCYH,SAMN16810860,PRJNA677666,2789312,Coemansia sp. RSA 1199,SRS7776774,SRR13132159,IW148,ZygoLCG
Coemansia sp. RSA 1200,RSA 1200,GWGAH,SAMN16810892,PRJNA677044,2789352,Coemansia sp. RSA 1200,SRS7834733,SRR13201246,IWW48,ZygoLCG
Coemansia sp. RSA 1250,RSA 1250,GWGAN,SAMN16810884,PRJNA677037,2789360,Coemansia sp. RSA 1250,SRS7834736,SRR13201248,IWW40,ZygoLCG
Coemansia sp. RSA 1285,RSA 1285,GPGGH,SAMN13189931,PRJNA581578,2663902,Coemansia sp. RSA 1285,SRS6089196,SRR10999566,GGH99,ZygoLCG
Coemansia sp. RSA 1286,RSA 1286,GPCZU,SAMN13190350,PRJNA581166,2663877,Coemansia sp. RSA 1286,SRS6088872,SRR10999131,GGF40,ZygoLCG
Coemansia sp. RSA 1287,RSA 1287,GXCYN,SAMN16810861,PRJNA677655,2789329,Coemansia sp. RSA 1287,SRS7776696,SRR13132063,IW137,ZygoLCG
Coemansia sp. RSA 1290,RSA 1290,GWWBN,SAMN15759847,PRJNA650735,2761390,Coemansia sp. RSA 1290,SRS7622326,SRR12951444,H4R22,ZygoLCG
Coemansia sp. RSA 1358,RSA 1358,GPGAS,SAMN13190347,PRJNA581605,2663922,Coemansia sp. RSA 1358,SRS6088881,SRR10999140,GGI26,ZygoLCG
Coemansia sp. RSA 1365,RSA 1365,GWGAO,SAMN15759866,PRJNA651139,2761419,Coemansia sp. RSA 1365,SRS7622036,SRR12951113,H4S08,ZygoLCG
Coemansia sp. RSA 1591,RSA 1591,RSA1591,,,,,,,,ZygoLCG
Coemansia sp. RSA 1694,RSA 1694,GPCZN,SAMN13190044,PRJNA581170,2663881,Coemansia sp. RSA 1694,SRS6088865,SRR10999055,GGF44,ZygoLCG
Coemansia sp. RSA 1721,RSA 1721,GPGHG,SAMN13190106,PRJNA581165,2663876,Coemansia sp. RSA 1721,SRS6089425,SRR10999802,GGF39,ZygoLCG
Coemansia sp. RSA 1722,RSA 1722,GWGAP,SAMN15759874,PRJNA651088,2761405,Coemansia sp. RSA 1722,SRS7622081,SRR12951160,H4R99,ZygoLCG
Coemansia sp. RSA 1752,RSA 1752,RSA1752,,,,,,,,ZygoLCG
Coemansia sp. RSA 1797,RSA 1797,GWGAS,SAMN16810864,PRJNA677045,2789340,Coemansia sp. RSA 1797,SRS7834745,SRR13201251,IWW49,ZygoLCG
Coemansia sp. RSA 1804,RSA 1804,CUPXY,SAMN10872741,PRJNA519290,2512253,Coemansia sp. RSA 1804,SRS4604248,SRR8873022,EV177,ZygoLCG
Coemansia sp. RSA 1807,RSA 1807,GOUNU,SAMN13190344,PRJNA581498,2663894,Coemansia sp. RSA 1807,SRS6097265,SRR11011821,GGH19,ZygoLCG
Coemansia sp. RSA 1813,RSA 1813,GWCYX,SAMN16810840,PRJNA677658,2789316,Coemansia sp. RSA 1813,SRS7776780,SRR13132131,IW140,ZygoLCG
Coemansia sp. RSA 1821,RSA 1821,RSA1821,,,,,,,,ZygoLCG
Coemansia sp. RSA 1822,RSA 1822,GPGCX,SAMN13190342,PRJNA581491,2663887,Coemansia sp. RSA 1822,SRS6088991,SRR10999362,GGH12,ZygoLCG
Coemansia sp. RSA 1824,RSA 1824,RSA1824,,,,,,,,ZygoLCG
Coemansia sp. RSA 1836,RSA 1836,GPCYW,SAMN13190384,PRJNA581574,2663898,Coemansia sp. RSA 1836,SRS6088606,SRR10998766,GGH95,ZygoLCG
Coemansia sp. RSA 1843,RSA 1843,RSA1843,,,,,,,,ZygoLCG
Coemansia sp. RSA 1853,RSA 1853,GPGCT,SAMN13190179,PRJNA581175,2663886,Coemansia sp. RSA 1853,SRS6088976,SRR10999347,GGF49,ZygoLCG
Coemansia sp. RSA 1878,RSA 1878,GWGAT,SAMN16830983,PRJNA677032,2790278,Coemansia sp. RSA 1878,SRS7914688,SRR13292113,IWW35,ZygoLCG
Coemansia sp. RSA 1933,RSA 1933,CUPZY,SAMN10872736,PRJNA519288,2512254,Coemansia sp. RSA 1933,SRS4604784,SRR8873652,EV175,ZygoLCG
Coemansia sp. RSA 1935,RSA 1935,GWGAU,SAMN16810878,PRJNA677040,2789350,Coemansia sp. RSA 1935,SRS7834746,SRR13201252,IWW43,ZygoLCG
Coemansia sp. RSA 1937,RSA 1937,GPGGZ,SAMN13190136,PRJNA581499,2663895,Coemansia sp. RSA 1937,SRS6089424,SRR10999801,GGH20,ZygoLCG
Coemansia sp. RSA 1938,RSA 1938,RSA1938,,,,,,,,ZygoLCG
Coemansia sp. RSA 1939,RSA 1939,GWCYS,SAMN15759859,PRJNA654307,2761428,Coemansia sp. RSA 1939,SRS7381925,SRR12659433,H4217,ZygoLCG
Coemansia sp. RSA 1972,RSA 1972,GPCZH,SAMN13190181,PRJNA581575,2663899,Coemansia sp. RSA 1972,SRS6088863,SRR10999053,GGH96,ZygoLCG
Coemansia sp. RSA 2049,RSA 2049,GPGGU,SAMN13190142,PRJNA581590,2663914,Coemansia sp. RSA 2049,SRS6089466,SRR10999800,GGI11,ZygoLCG
Coemansia sp. RSA 2050,RSA 2050,GWGAW,SAMN16810889,PRJNA677034,2789361,Coemansia sp. RSA 2050,SRS7834744,SRR13201250,IWW37,ZygoLCG
Coemansia sp. RSA 2052,RSA 2052,GWGAX,SAMN16808224,PRJNA677043,2789218,Coemansia sp. RSA 2052,SRS7834747,SRR13201253,IWW47,ZygoLCG
Coemansia sp. RSA 2131,RSA 2131,GWGAY,SAMN16810891,PRJNA677051,2789348,Coemansia sp. RSA 2131,SRS7834758,SRR13201264,IWW56,ZygoLCG
Coemansia sp. RSA 2167,RSA 2167,RSA2167,,,,,,,,ZygoLCG
Coemansia sp. RSA 2320,RSA 2320,CUPYA,SAMN10872739,PRJNA519287,2512255,Coemansia sp. RSA 2320,SRS4604247,SRR8873021,EV174,ZygoLCG
Coemansia sp. RSA 2322,RSA 2322,GPGBH,SAMN13190140,PRJNA581581,2663905,Coemansia sp. RSA 2322,SRS6088945,SRR10999316,GGI02,ZygoLCG
Coemansia sp. RSA 2336,RSA 2336,CUPYC,SAMN10872746,PRJNA519296,2512256,Coemansia sp. RSA 2336,SRS4604277,SRR8873051,EV183,ZygoLCG
Coemansia sp. RSA 2337,RSA 2337,GPGGG,SAMN13189934,PRJNA581582,2663906,Coemansia sp. RSA 2337,SRS6089195,SRR10999567,GGI03,ZygoLCG
Coemansia sp. RSA 2399,RSA 2399,RSA2399,,,,,,,,ZygoLCG
Coemansia sp. RSA 2424,RSA 2424,GPGCZ,SAMN13190351,PRJNA581168,2663879,Coemansia sp. RSA 2424,SRS6088990,SRR10999361,GGF42,ZygoLCG
Coemansia sp. RSA 2440,RSA 2440,GWGAZ,SAMN16810858,PRJNA677042,2789349,Coemansia sp. RSA 2440,SRS7834756,SRR13201262,IWW46,ZygoLCG
Coemansia sp. RSA 2522,RSA 2522,GXCYT,SAMN16810857,PRJNA677038,2789356,Coemansia sp. RSA 2522,SRS7834759,SRR13201265,IWW41,ZygoLCG
Coemansia sp. RSA 2523,RSA 2523,RSA2523,,,,,,,,ZygoLCG
Coemansia sp. RSA 2524,RSA 2524,GPGGT,SAMN13190352,PRJNA581173,2663884,Coemansia sp. RSA 2524,SRS6089423,SRR10999799,GGF47,ZygoLCG
Coemansia sp. RSA 2526,RSA 2526,GWCYU,SAMN18312930,PRJNA712423,2818456,Coemansia sp. RSA 2526,,,J3F80,ZygoLCG
Coemansia sp. RSA 2530,RSA 2530,GPGGO,SAMN13190183,PRJNA581589,2663913,Coemansia sp. RSA 2530,SRS6089197,SRR10999568,GGI10,ZygoLCG
Coemansia sp. RSA 2531,RSA 2531,GPCZT,SAMN13190145,PRJNA581167,2663878,Coemansia sp. RSA 2531,SRS6088871,SRR10999130,GGF41,ZygoLCG
Coemansia sp. RSA 2559,RSA 2559,GPCYY,SAMN13190217,PRJNA581602,2663921,Coemansia sp. RSA 2559,SRS6088607,SRR10998768,GGI23,ZygoLCG
Coemansia sp. RSA 2598,RSA 2598,RSA2598,,,,,,,,ZygoLCG
Coemansia sp. RSA 2599,RSA 2599,RSA2599,,,,,,,,ZygoLCG
Coemansia sp. RSA 25,RSA 25,GPCYT,SAMN13190349,PRJNA581164,2663875,Coemansia sp. RSA 25,SRS6088605,SRR10998765,GGF38,ZygoLCG
Coemansia sp. RSA 2603,RSA 2603,GPGBT,SAMN13190141,PRJNA581584,2663908,Coemansia sp. RSA 2603,SRS6088948,SRR10999319,GGI05,ZygoLCG
Coemansia sp. RSA 2607,RSA 2607,GWCYT,SAMN16808215,PRJNA677667,2789223,Coemansia sp. RSA 2607,SRS7776713,SRR13132064,IW150,ZygoLCG
Coemansia sp. RSA 2610,RSA 2610,GWGBB,SAMN15759826,PRJNA651090,2761402,Coemansia sp. RSA 2610,SRS7622084,SRR12951163,H4S01,ZygoLCG
Coemansia sp. RSA 2611,RSA 2611,GWGBC,SAMN15759819,PRJNA651091,2761403,Coemansia sp. RSA 2611,SRS7622040,SRR12951117,H4S02,ZygoLCG
Coemansia sp. RSA 2618,RSA 2618,GOUNY,SAMN13190218,PRJNA581169,2663880,Coemansia sp. RSA 2618,SRS6097486,SRR11012776,GGF43,ZygoLCG
Coemansia sp. RSA 2671,RSA 2671,GPCYZ,SAMN13190345,PRJNA581570,2663896,Coemansia sp. RSA 2671,SRS6088609,SRR10998769,GGH91,ZygoLCG
Coemansia sp. RSA 2673,RSA 2673,GPGAO,SAMN13190180,PRJNA581571,2663897,Coemansia sp. RSA 2673,SRS6088882,SRR10999141,GGH92,ZygoLCG
Coemansia sp. RSA 2675,RSA 2675,RSA2675,,,,,,,,ZygoLCG
Coemansia sp. RSA 2681,RSA 2681,GPGHO,SAMN13190101,PRJNA581579,2663903,Coemansia sp. RSA 2681,SRS6089662,SRR11000044,GGI00,ZygoLCG
Coemansia sp. RSA 2702,RSA 2702,GXCYU,SAMN16810867,PRJNA677047,2789347,Coemansia sp. RSA 2702,SRS7834757,SRR13201263,IWW51,ZygoLCG
Coemansia sp. RSA 2703,RSA 2703,RSA2703,,,,,,,,ZygoLCG
Coemansia sp. RSA 2704,RSA 2704,GWGBH,SAMN16810882,PRJNA677048,2789346,Coemansia sp. RSA 2704,SRS7834760,SRR13201266,IWW52,ZygoLCG
Coemansia sp. RSA 2705,RSA 2705,GWGBN,SAMN16810855,PRJNA677049,2789345,Coemansia sp. RSA 2705,SRS7834764,SRR13201270,IWW54,ZygoLCG
Coemansia sp. RSA 2706,RSA 2706,GWGBO,SAMN16810874,PRJNA677050,2789344,Coemansia sp. RSA 2706,SRS7834768,SRR13201274,IWW55,ZygoLCG
Coemansia sp. RSA 2708,RSA 2708,RSA2708,,,,,,,,ZygoLCG
Coemansia sp. RSA 2711,RSA 2711,RSA2711,,,,,,,,ZygoLCG
Coemansia sp. RSA 353,RSA 353,GWCYZ,SAMN16810880,PRJNA677657,2789331,Coemansia sp. RSA 353,SRS7776900,SRR13132233,IW139,ZygoLCG
Coemansia sp. RSA 355,RSA 355,GWCYW,SAMN16810888,PRJNA677659,2789317,Coemansia sp. RSA 355,SRS7776612,SRR13132000,IW141,ZygoLCG
Coemansia sp. RSA 370,RSA 370,GOUNW,SAMN13190343,PRJNA581493,2663889,Coemansia sp. RSA 370,SRS6097266,SRR11011822,GGH14,ZygoLCG
Coemansia sp. RSA 371,RSA 371,GWCYY,SAMN18312926,PRJNA712424,2818452,Coemansia sp. RSA 371,,,J3F81,ZygoLCG
Coemansia sp. RSA 376,RSA 376,GPGCU,SAMN13190102,PRJNA581580,2663904,Coemansia sp. RSA 376,SRS6088989,SRR10999360,GGI01,ZygoLCG
Coemansia sp. RSA 451,RSA 451,CUPZZ,SAMN10872740,PRJNA519289,2512257,Coemansia sp. RSA 451,SRS4604782,SRR8873651,EV176,ZygoLCG
Coemansia sp. RSA 454,RSA 454,GPGCS,SAMN13190382,PRJNA581577,2663901,Coemansia sp. RSA 454,SRS6088977,SRR10999348,GGH98,ZygoLCG
Coemansia sp. RSA 455,RSA 455,GPCZW,SAMN13190184,PRJNA581592,2663915,Coemansia sp. RSA 455,SRS6088874,SRR10999133,GGI13,ZygoLCG
Coemansia sp. RSA 475,RSA 475,GPGAX,SAMN13190385,PRJNA581576,2663900,Coemansia sp. RSA 475,SRS6088935,SRR10999306,GGH97,ZygoLCG
Coemansia sp. RSA 485,RSA 485,GXCYW,SAMN16810844,PRJNA677041,2789351,Coemansia sp. RSA 485,SRS7834767,SRR13201273,IWW45,ZygoLCG
Coemansia sp. RSA 486,RSA 486,RSA486,,,,,,,,ZygoLCG
Coemansia sp. RSA 487,RSA 487,CUPYB,SAMN10872743,PRJNA519292,2512258,Coemansia sp. RSA 487,SRS4604251,SRR8873025,EV179,ZygoLCG
Coemansia sp. RSA 518,RSA 518,CUPYG,SAMN10872744,PRJNA519293,2512259,Coemansia sp. RSA 518,SRS4604278,SRR8873052,EV180,ZygoLCG
Coemansia sp. RSA 520,RSA 520,GXCYO,SAMN16810859,PRJNA677661,2789324,Coemansia sp. RSA 520,SRS7776742,SRR13132124,IW143,ZygoLCG
Coemansia sp. RSA 521,RSA 521,GWCZB,SAMN16810866,PRJNA677663,2789320,Coemansia sp. RSA 521,SRS7776715,SRR13132068,IW145,ZygoLCG
Coemansia sp. RSA 522,RSA 522,GWCZC,SAMN16808223,PRJNA677662,2789225,Coemansia sp. RSA 522,SRS7776855,SRR13132234,IW144,ZygoLCG
Coemansia sp. RSA 530,RSA 530,GPCZA,SAMN13190147,PRJNA581497,2663893,Coemansia sp. RSA 530,SRS6088624,SRR10998814,GGH18,ZygoLCG
Coemansia sp. RSA 532,RSA 532,CUPXZ,SAMN10872745,PRJNA519294,2512260,Coemansia sp. RSA 532,SRS4604246,SRR8873020,EV181,ZygoLCG
Coemansia sp. RSA 551,RSA 551,GPGHC,SAMN13189932,PRJNA581171,2663882,Coemansia sp. RSA 551,SRS6089422,SRR10999798,GGF45,ZygoLCG
Coemansia sp. RSA 552,RSA 552,GPCZG,SAMN13190146,PRJNA581172,2663883,Coemansia sp. RSA 552,SRS6088647,SRR10998837,GGF46,ZygoLCG
Coemansia sp. RSA 560,RSA 560,GPCZZ,SAMN13190135,PRJNA581495,2663891,Coemansia sp. RSA 560,SRS6088876,SRR10999135,GGH16,ZygoLCG
Coemansia sp. RSA 562,RSA 562,GOUNX,SAMN13190138,PRJNA581494,2663890,Coemansia sp. RSA 562,SRS6097267,SRR11011823,GGH15,ZygoLCG
Coemansia sp. RSA 564,RSA 564,GWCZG,SAMN16810881,PRJNA677660,2789314,Coemansia sp. RSA 564,SRS7776809,SRR13132235,IW142,ZygoLCG
Coemansia sp. RSA 637,RSA 637,GWCZN,SAMN18312918,PRJNA712425,2818455,Coemansia sp. RSA 637,,,J3F82,ZygoLCG
Coemansia sp. RSA 638,RSA 638,RSA638,,,,,,,,ZygoLCG
Coemansia sp. RSA 678,RSA 678,GWCZO,SAMN16830984,PRJNA677654,2790277,Coemansia sp. RSA 678,SRS7912034,SRR13288330,IW136,ZygoLCG
Coemansia sp. RSA 720,RSA 720,GWCZH,SAMN16810841,PRJNA677665,2789315,Coemansia sp. RSA 720,SRS7776720,SRR13132066,IW147,ZygoLCG
Coemansia sp. RSA 788,RSA 788,GPGBG,SAMN13190040,PRJNA581496,2663892,Coemansia sp. RSA 788,SRS6088937,SRR10999307,GGH17,ZygoLCG
Coemansia sp. RSA 921,RSA 921,GPGGS,SAMN13189928,PRJNA581174,2663885,Coemansia sp. RSA 921,SRS6089198,SRR10999569,GGF48,ZygoLCG
Coemansia sp. RSA 922,RSA 922,GXCYP,SAMN16810850,PRJNA677664,2789323,Coemansia sp. RSA 922,SRS7776714,SRR13132065,IW146,ZygoLCG
Coemansia sp. RSA 986,RSA 986,GWCZS,SAMN16810839,PRJNA677656,2789322,Coemansia sp. RSA 986,SRS7776719,SRR13132125,IW138,ZygoLCG
Coemansia sp. RSA 988,RSA 988,GWWBH,SAMN15759825,PRJNA650737,2761391,Coemansia sp. RSA 988,SRS7622327,SRR12951445,H4R24,ZygoLCG
Coemansia sp. RSA 989,RSA 989,RSA989,,,,,,,,ZygoLCG
Coemansia sp. RSA 990,RSA 990,RSA990,,,,,,,,ZygoLCG
Coemansia sp. S100,S100,GPCZC,SAMN13190346,PRJNA581588,2663912,Coemansia sp. S100,SRS6088625,SRR10998816,GGI09,ZygoLCG
Coemansia sp. S142-1,S142-1,GPCZY,SAMN13190387,PRJNA581595,2663917,Coemansia sp. S142-1,SRS6088873,SRR10999132,GGI16,ZygoLCG
Coemansia sp. S146,S146,GPGCP,SAMN13190216,PRJNA581596,2663918,Coemansia sp. S146,SRS6088974,SRR10999345,GGI17,ZygoLCG
Coemansia sp. S155-1,S155-1,GPGAA,SAMN13190381,PRJNA581492,2663888,Coemansia sp. S155-1,SRS6088877,SRR10999136,GGH13,ZygoLCG
Coemansia sp. S16,S16,GWGBS,SAMN15759861,PRJNA651093,2761417,Coemansia sp. S16,SRS7622083,SRR12951162,H4S04,ZygoLCG
Coemansia sp. S17,S17,S17,,,,,,,,ZygoLCG
Coemansia sp. S2,S2,GPCZP,SAMN13190042,PRJNA581587,2663911,Coemansia sp. S2,SRS6088648,SRR10998838,GGI08,ZygoLCG
Coemansia sp. S3946,S3946,GWGBT,SAMN15759854,PRJNA651092,2761407,Coemansia sp. S3946,SRS7622041,SRR12951118,H4S03,ZygoLCG
Coemansia sp. S610,S610,GXCYX,SAMN16810885,PRJNA677052,2789341,Coemansia sp. S610,SRS7834771,SRR13201277,IWW57,ZygoLCG
Coemansia sp. S680,S680,GPGAB,SAMN13190043,PRJNA581593,2663916,Coemansia sp. S680,SRS6088879,SRR10999139,GGI14,ZygoLCG
Coemansia sp. S85,S85,GPGCO,SAMN13190104,PRJNA581585,2663909,Coemansia sp. S85,SRS6088975,SRR10999346,GGI06,ZygoLCG
Coemansia spiralis CBS 108938,CBS 108938,GWWBG,SAMN15720020,PRJNA650732,417178,Coemansia spiralis,SRS7622325,SRR12951443,H4R19,ZygoLCG
Coemansia spiralis CBS 109367,CBS 109367,GXCYY,SAMN16773252,PRJNA677036,417178,Coemansia spiralis,SRS7834770,SRR13201276,IWW39,ZygoLCG
Coemansia spiralis NRRL 3115,NRRL 3115,GPGCY,SAMN13166136,PRJNA581604,417178,Coemansia spiralis,SRS6088992,SRR10999363,GGI25,ZygoLCG
Coemansia thaxteri IMI 214461,IMI 214461,GWGCA,SAMN15719944,PRJNA650739,2663907,Coemansia thaxteri,SRS7622103,SRR12951190,H4R26,ZygoLCG
Coemansia thaxteri IMI 214463,IMI 214463,GPGBU,SAMN13190103,PRJNA581583,2663907,Coemansia thaxteri,SRS6088947,SRR10999318,GGI04,ZygoLCG
Coemansia umbellata BCRC 34882,BCRC 34882,COZTW,SAMN10362771,PRJNA500289,1424467,Coemansia umbellata,SRS4247319,SRR8437487,EDC05,ZygoLCG
Conidiobolus antarcticus ARSEF 6913,ARSEF 6913,CUPXP,SAMN10865590,PRJNA519386,369793,Conidiobolus antarcticus,SRS4604793,SRR8873662,EV274,ZygoLCG
Conidiobolus firmipilleus ARSEF 2731,ARSEF 2731,CHXWS,SAMN09074834,PRJNA463341,181043,Conidiobolus firmipilleus,SRS3664041,SRR7686231,DFQ34,ZygoLCG
Conidiobolus heterosporus ARSEF 6386,ARSEF 6386,CHXWY,SAMN09074673,PRJNA463338,1167838,Conidiobolus heterosporus,SRS3664045,SRR7686235,DFQ31,ZygoLCG
Conidiobolus incongruus NRRL 3022,NRRL 3022,HCXGO,SAMN15741652,PRJNA653055,90249,Conidiobolus incongruus,SRS7409005,SRR12691201,H4W82,ZygoLCG
Conidiobolus incongruus NRRL 3023,NRRL 3023,HCXGP,SAMN16773418,PRJNA677208,90249,Conidiobolus incongruus,,,IWY20,ZygoLCG
Conidiobolus lamprauges ARSEF 2338,ARSEF 2338,CHXWP,SAMN09074664,PRJNA463323,90250,Conidiobolus lamprauges,SRS3664037,SRR7686227,DFQ18,ZygoLCG
Conidiobolus lamprauges NRRL 1229,NRRL 1229,CTHWH,SAMN10361075,PRJNA499642,90250,Conidiobolus lamprauges,SRS4289373,SRR8485131,EC935,ZygoLCG
Conidiobolus megalotocus ARSEF 8428,ARSEF 8428,CHXXA,SAMN09074662,PRJNA463321,2045275,Conidiobolus megalotocus,SRS3664046,SRR7686236,DFQ16,ZygoLCG
Conidiobolus megalotocus NRRL 3011,NRRL 3011,CTHTZ,SAMN10361242,PRJNA499693,2045275,Conidiobolus megalotocus,SRS4287283,SRR8482994,EC987,ZygoLCG
Conidiobolus osmodes ARSEF 79,ARSEF 79,COZTU,SAMN10362772,PRJNA500290,181044,Conidiobolus osmodes,SRS4247302,SRR8437444,EDC06,ZygoLCG
Conidiobolus polytocus NRRL 1231,NRRL 1231,CTHWA,SAMN10361076,PRJNA499643,1167814,Conidiobolus polytocus,SRS4288463,SRR8484221,EC936,ZygoLCG
Conidiobolus pumilus ARSEF 6383,ARSEF 6383,COZTT,SAMN10865798,PRJNA519840,181045,Conidiobolus pumilus,SRS4331674,SRR8536101,EV402,ZygoLCG
Conidiobolus pumilus ARSEF 6383, ARSEF 6383,COZTT,SAMN10865798,PRJNA519840,181045,Conidiobolus pumilus,SRS4331674,SRR8536101,EV402,ZygoLCG
Conidiobolus rhysosporus ARSEF 448,ARSEF 448,CHXWT,SAMN09074663,PRJNA463322,181046,Conidiobolus rhysosporus,SRS3664043,SRR7686234,DFQ17,ZygoLCG
Conidiobolus rhysosporus NRRL 1225,NRRL 1225,CTHUZ,SAMN10361577,PRJNA499695,181046,Conidiobolus rhysosporus,SRS4288467,SRR8484223,EC989,ZygoLCG
Conidiobolus sp. NRRL 29146,NRRL 29146,CTHTY,SAMN10366862,PRJNA499692,2486361,Conidiobolus sp. NRRL 29146,SRS4287286,SRR8482997,EC986,ZygoLCG
Conidiobolus thromboides ARSEF 4968,ARSEF 4968,CHXWU,SAMN09074833,PRJNA463340,76012,Conidiobolus thromboides,SRS3664042,SRR7686232,DFQ33,ZygoLCG
Conidiobolus thromboides NRRL 1224,NRRL 1224,CTHUA,SAMN10361283,PRJNA499691,76012,Conidiobolus thromboides,SRS4287282,SRR8482993,EC985,ZygoLCG
Cunninghamella antarctica NRRL 6534,NRRL 6534,CHXZC,SAMN09062779,PRJNA455964,1195484,Cunninghamella antarctica,SRS3664232,SRR7686432,DER75,ZygoLCG
Cunninghamella bertholletiae NRRL 1376,NRRL 1376,GAWNA,SAMN11510189,PRJNA535674,90251,Cunninghamella bertholletiae,SRS5128533,SRR9720705,FBU18,ZygoLCG
Cunninghamella bertholletiae NRRL 1377,NRRL 1377,GAWGP,SAMN11510200,PRJNA535675,90251,Cunninghamella bertholletiae,SRS5126949,SRR9719771,FBU19,ZygoLCG
Cunninghamella bertholletiae NRRL 1378,NRRL 1378,HHBCH,SAMN15741347,PRJNA653081,90251,Cunninghamella bertholletiae,SRS7408588,SRR12689943,H4X08,ZygoLCG
Cunninghamella bertholletiae NRRL 1380,NRRL 1380,GAWCH,SAMN11510201,PRJNA535676,90251,Cunninghamella bertholletiae,SRS5124885,SRR9718426,FBU20,ZygoLCG
Cunninghamella brunnea NRRL 6143,NRRL 6143,CHXZB,SAMN09074675,PRJNA463342,2045277,Cunninghamella brunnea,SRS3664167,SRR7686366,DFQ35,ZygoLCG
Cunninghamella echinulata NRRL 1384,NRRL 1384,GAWNC,SAMN11532227,PRJNA538864,76405,Cunninghamella echinulata,SRS5128674,SRR9720846,FB632,ZygoLCG
Cunninghamella echinulata NRRL 1385,NRRL 1385,GAWGS,SAMN11510202,PRJNA536154,76405,Cunninghamella echinulata,SRS5127877,SRR9719880,FBX07,ZygoLCG
Cunninghamella echinulata NRRL 1386,NRRL 1386,GAWHZ,SAMN11532711,PRJNA538870,76405,Cunninghamella echinulata,SRS5128518,SRR9720690,FB638,ZygoLCG
