CTHSX	Backusella_circina_NRRL_2446.LCG
GZWXS	Backusella_circina_NRRL_3293.LCG
GWOTU	Backusella_circina_NRRL_6007.LCG
CTHSU	Backusella_circina_NRRL_A-17781.LCG
GWOTS	Backusella_ctenidia_NRRL_6239.LCG
CTHSW	Backusella_lamprospora_NRRL_1401.LCG
GWOWA	Backusella_lamprospora_NRRL_3103.LCG
HCOOZ	Backusella_lamprospora_NRRL_3618.LCG
HCOOX	Backusella_lamprospora_NRRL_3619.LCG
N168	Basidiobolus_heterosporus_B8920
N161	Basidiobolus_meristosporus_B9252
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
AGB5	Basidiobolus_ranarum_AGB5.LCG
Benpoi1	Benjaminiella_poitrasii_RSA_903
CHXXZ	Benjaminiella_youngii_IMI_325629.LCG
BZG36	Bifiguratus_adelaidae_AZ0501
Blatri1	Blakeslea_trispora_NRRL_2456
CTHSY	Blakeslea_trispora_NRRL_2456.LCG
Calth2	Calcarisporiella_thermophila_CBS279
CSTE	Capniomyces_stellatus_MIS-10-108.v1
COZTY	Chaetocladium_brefeldii_NRRL_1350.LCG
Chabre1	Chaetocladium_brefeldii_NRRL_2343.v1
HCOPZ	Chaetocladium_brefeldii_NRRL_2508.LCG
GBNWZ	Chaetocladium_brefeldii_RSA_1136-.LCG
GAUZO	Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509.LCG
GPGAH	Chaetocladium_jonesii_RSA_772.LCG
GWOZX	Chaetocladium_sp._NRRL_2844.LCG
HCOPY	Chaetocladium_sp._NRRL_3029.LCG
GBNUG	Choanephora_circinans_NRRL_2546.LCG
A0J61	Choanephora_cucurbitarum_KUS-F28377.v1
CTHTS	Circinella_angarensis_NRRL_1594.LCG
CUPYS	Circinella_angarensis_NRRL_2410.LCG
GWOWX	Circinella_angarensis_NRRL_2628.LCG
GBNTP	Circinella_angarensis_RSA_618-.LCG
CHXXT	Circinella_chinensis_CBS_150.53.LCG
CTHTX	Circinella_chinensis_NRRL_2415.LCG
CHXXS	Circinella_minor_CBS_143.56.LCG
CTHTH	Circinella_minor_NRRL_1365.LCG
CUPYT	Circinella_mucoroides_NRRL_1354.LCG
GBNUP	Circinella_muscae_CBS_107.13T.LCG
CTHTN	Circinella_muscae_NRRL_1352.LCG
